what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397255476810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397256710644
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397256852875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257024669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257025783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257027096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257029096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257134941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257137922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257139471
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397257143502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397257151720
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397257151918
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397257167929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257175938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397257188257
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397257188619
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397257188653
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397257194648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1397257196229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397257196440
