what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250769008
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397250771525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397250795744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250798216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250812248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397250814825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250820862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250853736
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397250859969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250862539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250863733
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1397250863784
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397250863843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397250870619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250874137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250905002
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397250909230
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397250909297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397250927000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397250930451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250932924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250940769
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397250942823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397250945975
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397250952654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250954533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250959608
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1397250961240
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1397250964834
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397250965402
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1397250965744
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397250966349
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1397250969219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250972455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397250978095
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397250978099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251283082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251433621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251434504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251504426
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397251509220
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397251512390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251531405
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251534691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1397251557181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1397251563979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397251572293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397251573749
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397251576730
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397251582603
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397251596806
opened,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1397251602448
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1397251602504
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397251618308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251621734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251628193
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397251639021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251642677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251644391
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397251651496
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397251708016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397251731107
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1397251733963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251738675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1397251738706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251740637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397251743812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251744907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397251745746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251755831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251758685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251758852
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397251760239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251762363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251838583
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397251846267
activated,editor,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.core.csssource.source",1397251858069
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397251860994
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251862658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397251864774
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397251866763
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1397251868669
opened,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1397251870246
activated,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1397251870300
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1397251871480
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1397251873897
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397251874361
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1397251874742
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397251875360
activated,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1397251875681
