what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397287873784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397287879546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397287885607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397287896528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397287902846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397287904631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397287912029
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397287914286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397287944907
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397287947486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397287948329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397287989075
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397287994992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397288005952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397288011043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397288011855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288073194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288077491
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1397288077550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397288098184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397288102499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397288107365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397288178961
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397288325719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288338972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288371254
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397288377850
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397288391264
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397288391612
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397288391657
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397288404914
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397288405139
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397288415426
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397288417954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397288428317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288438295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288439599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288441835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288442969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288443270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288444726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288524421
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397288537526
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288581468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288593705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288594829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288598513
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397288608690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288644298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288652283
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397288662314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397288665593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288722857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288722961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288722968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288760979
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397288766864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288866207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397288955307
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397288982468
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397288995797
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397289007227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397289042109
