what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397064497019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397064502659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397064883013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397064904441
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397064917689
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397064923019
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397064923075
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397064932862
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397064936589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397064952349
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397064956742
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397064958974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1397064999688
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397065016043
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397065018893
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397065070276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065082493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065100586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1397065100646
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397065100921
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397065100979
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397065103280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065108306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065119105
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397065119464
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397065119504
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397065123471
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397065125726
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397065125847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397065136323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397065138445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397065148260
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397065149928
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397065150188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065160529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065205482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065215217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065216827
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1397065218447
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1397065218504
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1397065218508
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1397065218514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065229642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065230983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065234748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065236718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065242380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065243918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065249195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065252219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065262495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065268923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065278588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065283494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065288217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065292045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065294226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065297286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065313003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065320790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065338818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065362889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065408410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065412427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065414114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065676314
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397065678729
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397065683983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065693376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065746005
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397065753622
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397065756531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065805755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065820773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065848413
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1397065848428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065850274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397065852370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397066816077
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397066824908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397066832973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397066902675
