what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397291836755
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1397291853379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397291874482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397291884338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397291885773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397291949257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397291953519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397292001047
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397292012787
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397292029048
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397292029127
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397292032562
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397292032792
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1397292032881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397292045081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397292046026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397292052150
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1397292054207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397292078302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397292082227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397292085742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397292087815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1397292087851
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397292087893
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397292094489
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397292094546
